Equipment ID,Equipment Type,ABC,VED
93,E&SP (NR),C,E
94,NS,C,E
95,E&SP (NR),C,E
96,E&SP (NR),C,E
97,E&SP (NR),C,E
98,NS,C,V
99,E&SP (NR),C,E
100,NS,C,E
101,E&SP (NR),C,E
102,E&SP (NR),C,V
103,E&SP (NR),C,E
104,E&SP (R),C,E
105,E&SP (NR),C,E
106,E&SP (NR),C,E
107,E&SP (NR),C,E
108,NS,C,D
109,E&SP (NR),C,V
110,E&SP (NR),C,E
111,NS,C,V
112,NS,C,V
113,E&SP (NR),C,D
114,NS,C,E
115,E&SP (NR),C,E
116,E&SP (NR),C,E
117,E&SP (NR),C,D
118,E&SP (NR),C,V
119,E&SP (NR),C,V
120,E&SP (NR),C,E
121,E&SP (NR),C,E
122,E&SP (NR),C,V
123,NS,C,D
124,E&SP (NR),C,D
125,NS,C,D
126,NS,C,V
127,E&SP (NR),C,E
128,E&SP (NR),C,D
129,NS,C,E
130,E&SP (NR),C,V
131,E&SP (R),C,E
132,E&SP (NR),B,V
133,E&SP (NR),C,D
134,E&SP (NR),C,D
135,NS,C,E
136,E&SP (NR),C,V
137,E&SP (NR),C,E
138,E&SP (NR),C,V
139,E&SP (NR),C,E
140,E&SP (NR),C,E
141,E&SP (R),C,V
142,NS,C,V
143,E&SP (NR),B,E
144,NS,C,E
145,E&SP (NR),C,E
146,NS,C,D
147,E&SP (NR),C,E
148,E&SP (NR),C,E
149,E&SP (NR),C,E
150,E&SP (NR),C,E
151,NS,C,D
152,E&SP (NR),C,D
153,E&SP (NR),C,D
154,NS,C,E
155,E&SP (NR),C,D
156,NS,C,E
157,NS,C,E
158,E&SP (NR),C,V
159,E&SP (NR),C,E
160,NS,C,E
161,NS,C,E
162,E&SP (NR),C,D
163,NS,B,V
164,E&SP (NR),C,E
165,E&SP (NR),C,D
166,E&SP (NR),B,E
167,NS,C,E
168,E&SP (NR),C,E
169,E&SP (NR),C,E
170,E&SP (NR),B,V
171,E&SP (NR),C,E
172,NS,C,E
173,E&SP (NR),C,E
174,E&SP (NR),C,E
175,E&SP (NR),C,E
176,NS,C,D
177,E&SP (NR),C,E
178,E&SP (NR),C,E
179,E&SP (NR),C,E
180,E&SP (NR),C,E
181,E&SP (NR),C,V
182,E&SP (NR),C,D
183,E&SP (NR),C,E
184,NS,C,D
185,E&SP (NR),C,E
186,E&SP (NR),C,E
187,E&SP (NR),C,E
188,E&SP (NR),C,V
189,E&SP (NR),C,E
190,E&SP (NR),C,V
191,NS,C,D
192,NS,C,E
193,E&SP (NR),B,E
194,E&SP (NR),C,E
195,E&SP (NR),C,E
196,NS,C,E
197,E&SP (NR),C,E
198,E&SP (NR),C,E
199,E&SP (NR),C,E
200,NS,C,V
201,NS,C,E
202,NS,C,E
203,E&SP (NR),C,V
204,E&SP (NR),C,V
205,E&SP (NR),C,E
206,NS,C,D
207,E&SP (NR),C,E
208,E&SP (NR),C,E
209,NS,C,D
210,E&SP (NR),C,E
211,E&SP (NR),C,E
212,E&SP (NR),C,E
213,E&SP (NR),C,E
214,E&SP (NR),C,D
215,NS,C,V
216,NS,C,D
217,NS,C,E
218,E&SP (NR),C,D
219,E&SP (NR),C,E
220,NS,C,E
221,E&SP (R),C,D
222,E&SP (NR),C,V
223,E&SP (NR),C,D
224,E&SP (NR),C,D
225,E&SP (NR),C,E
226,NS,C,D
227,NS,C,E
228,E&SP (NR),C,E
229,NS,C,D
230,E&SP (NR),C,E
231,NS,C,D
232,E&SP (NR),A,E
233,E&SP (NR),B,E
234,NS,C,E
235,E&SP (NR),C,V
236,E&SP (NR),C,V
237,E&SP (NR),C,E
238,NS,C,E
239,E&SP (R),C,V
240,NS,C,D
241,E&SP (NR),C,D
242,NS,C,E
243,E&SP (NR),C,D
244,NS,C,E
245,E&SP (NR),C,E
246,E&SP (NR),C,E
247,E&SP (NR),C,E
248,E&SP (NR),C,V
249,NS,C,V
250,NS,C,E
251,E&SP (NR),C,E
252,E&SP (NR),C,E
253,NS,C,E
254,E&SP (NR),C,E
255,NS,C,E
256,E&SP (R),C,V
257,E&SP (NR),C,E
258,E&SP (NR),A,E
259,E&SP (NR),C,D
260,NS,C,V
261,E&SP (NR),C,E
262,E&SP (NR),C,E
263,NS,C,E
264,NS,C,E
265,NS,C,E
266,E&SP (R),B,V
267,E&SP (NR),C,E
268,E&SP (NR),C,E
269,E&SP (NR),C,E
270,NS,C,D
271,E&SP (NR),C,E
272,E&SP (NR),C,E
273,E&SP (NR),C,D
274,E&SP (NR),C,E
275,E&SP (NR),C,V
276,NS,B,V
277,E&SP (NR),C,E
278,E&SP (NR),C,D
279,NS,C,V
280,E&SP (NR),C,E
281,E&SP (NR),C,E
282,NS,C,E
283,E&SP (NR),C,E
284,E&SP (NR),C,E
285,E&SP (NR),C,D
286,NS,C,E
287,E&SP (NR),C,E
288,E&SP (NR),C,E
289,E&SP (NR),C,E
290,NS,C,V
291,E&SP (NR),C,E
292,E&SP (NR),C,E
293,E&SP (NR),C,E
294,E&SP (R),C,E
295,E&SP (NR),C,E
296,NS,C,V
297,E&SP (NR),C,D
298,E&SP (NR),C,D
299,E&SP (NR),C,E
300,NS,C,E
301,E&SP (NR),C,E
302,E&SP (NR),C,E
303,E&SP (NR),C,E
304,E&SP (NR),C,E
305,E&SP (NR),C,D
306,E&SP (NR),C,D
307,E&SP (NR),C,V
308,E&SP (NR),C,E
309,E&SP (NR),C,E
310,NS,C,E
311,E&SP (NR),C,E
312,E&SP (NR),C,D
313,E&SP (NR),C,E
314,E&SP (NR),C,E
315,NS,C,D
316,NS,C,E
317,E&SP (NR),C,E
318,NS,C,E
319,E&SP (NR),C,E
320,NS,C,V
321,E&SP (NR),C,D
322,E&SP (NR),C,V
323,E&SP (NR),C,E
324,E&SP (R),C,V
325,E&SP (NR),C,E
326,E&SP (NR),C,E
327,E&SP (NR),C,E
328,E&SP (NR),C,E
329,E&SP (NR),C,E
330,NS,C,D
331,NS,C,D
332,E&SP (NR),C,V
333,NS,C,V
334,E&SP (NR),C,E
335,E&SP (NR),C,E
336,NS,C,E
337,E&SP (NR),C,E
338,E&SP (NR),C,V
339,E&SP (NR),C,V
340,E&SP (NR),C,E
341,NS,C,V
342,E&SP (NR),C,V
343,E&SP (R),B,E
344,E&SP (NR),C,E
345,E&SP (R),C,V
346,E&SP (NR),C,D
347,E&SP (NR),C,E
348,E&SP (NR),C,D
349,NS,C,E
350,E&SP (NR),C,V
351,NS,B,D
352,E&SP (NR),C,E
353,E&SP (NR),C,E
354,E&SP (R),A,V
355,E&SP (NR),C,E
356,NS,C,V
357,NS,C,V
358,E&SP (R),C,E
359,NS,C,D
360,NS,C,V
361,E&SP (NR),C,E
362,NS,C,E
363,E&SP (NR),C,E
364,NS,C,D
365,E&SP (NR),C,E
366,E&SP (NR),C,E
367,E&SP (NR),B,E
368,NS,C,V
369,NS,C,E
370,E&SP (NR),C,E
371,E&SP (R),C,E
372,E&SP (NR),C,E
373,NS,C,V
374,E&SP (NR),C,E
375,E&SP (NR),C,D
376,NS,C,E
377,E&SP (NR),C,D
378,NS,C,V
379,E&SP (NR),C,E
380,NS,C,E
381,E&SP (NR),C,V
382,NS,C,E
383,E&SP (NR),C,E
384,E&SP (NR),C,E
385,E&SP (NR),C,D
386,NS,C,D
387,NS,C,D
388,E&SP (NR),C,E
389,E&SP (NR),C,E
390,E&SP (R),C,E
391,E&SP (NR),C,D
392,E&SP (NR),C,E
393,E&SP (NR),C,E
394,E&SP (NR),C,D
395,E&SP (NR),C,E
396,NS,C,E
397,E&SP (NR),C,E
398,E&SP (NR),C,E
399,E&SP (NR),C,D
400,E&SP (NR),B,D
401,E&SP (NR),C,E
402,E&SP (NR),C,D
403,NS,B,V
404,E&SP (NR),C,D
405,E&SP (NR),C,E
406,NS,C,E
407,E&SP (NR),C,E
408,NS,C,V
409,E&SP (NR),C,E
410,E&SP (NR),C,V
411,NS,C,E
412,NS,A,V
413,E&SP (NR),C,E
414,E&SP (NR),C,E
415,E&SP (NR),C,E
416,NS,C,E
417,E&SP (NR),B,D
418,E&SP (NR),C,V
419,NS,C,D
420,NS,C,E
421,E&SP (NR),C,E
422,E&SP (NR),C,D
423,NS,C,E
424,E&SP (R),C,E
425,E&SP (NR),C,D
426,E&SP (NR),C,E
427,E&SP (NR),C,V
428,E&SP (NR),C,E
429,E&SP (NR),C,E
430,E&SP (NR),C,E
431,E&SP (R),C,E
432,NS,C,E
433,E&SP (NR),C,E
434,E&SP (R),C,D
435,E&SP (NR),C,E
436,NS,C,E
437,E&SP (NR),C,E
438,NS,C,E
439,E&SP (NR),C,D
440,E&SP (NR),C,E
441,E&SP (NR),C,E
442,E&SP (NR),C,D
443,E&SP (NR),C,V
444,NS,C,E
445,E&SP (NR),C,E
446,E&SP (NR),C,D
447,E&SP (NR),C,E
448,NS,C,D
449,NS,C,E
450,NS,C,E
451,E&SP (NR),C,E
452,NS,C,D
453,E&SP (NR),C,D
454,E&SP (NR),A,E
455,E&SP (NR),C,V
456,NS,C,V
457,NS,C,E
458,E&SP (NR),C,V
459,E&SP (NR),C,E
460,E&SP (NR),C,D
461,E&SP (R),C,E
462,E&SP (R),B,D
463,E&SP (NR),C,E
464,NS,C,D
465,NS,C,V
466,E&SP (NR),C,E
467,NS,C,V
468,E&SP (R),C,E
469,E&SP (NR),C,E
470,E&SP (NR),C,E
471,E&SP (NR),B,E
472,E&SP (NR),C,E
473,E&SP (NR),C,D
474,E&SP (NR),C,V
475,E&SP (NR),C,E
476,NS,C,E
477,NS,C,E
478,E&SP (NR),B,E
479,E&SP (NR),A,E
480,E&SP (NR),C,E
481,E&SP (NR),C,E
482,E&SP (NR),C,D
483,E&SP (R),C,E
484,E&SP (NR),C,E
485,E&SP (NR),C,D
486,NS,B,E
487,NS,C,E
488,E&SP (NR),C,E
489,E&SP (NR),C,V
490,E&SP (NR),B,E
491,NS,C,E
492,E&SP (NR),C,D
493,NS,C,D
494,E&SP (NR),C,E
495,E&SP (NR),B,E
496,E&SP (R),C,E
497,NS,B,E
498,E&SP (NR),C,E
499,NS,C,V
500,E&SP (NR),C,E
501,E&SP (NR),C,E
502,E&SP (NR),C,E
503,NS,C,E
504,NS,C,V
505,E&SP (NR),C,V
506,E&SP (NR),B,E
507,E&SP (NR),C,E
508,NS,C,E
509,E&SP (R),C,E
510,NS,C,V
511,E&SP (R),B,E
512,NS,C,E
513,NS,C,E
514,E&SP (NR),C,V
515,NS,C,E
516,E&SP (NR),C,V
517,NS,C,E
518,E&SP (NR),C,E
519,E&SP (NR),C,D
520,E&SP (NR),B,D
521,E&SP (NR),C,E
522,E&SP (NR),C,E
523,E&SP (NR),C,E
524,E&SP (NR),C,V
525,E&SP (NR),C,V
526,E&SP (NR),C,D
527,NS,C,E
528,NS,C,V
529,E&SP (R),C,V
530,E&SP (NR),C,E
531,E&SP (R),C,E
532,E&SP (R),C,V
533,E&SP (NR),C,E
534,E&SP (NR),C,E
535,E&SP (NR),C,E
536,E&SP (R),C,E
537,E&SP (NR),C,D
538,E&SP (NR),C,V
539,E&SP (NR),B,E
540,E&SP (NR),C,E
541,E&SP (NR),C,D
542,NS,C,E
543,NS,C,D
544,E&SP (NR),C,E
545,NS,B,E
546,E&SP (NR),C,D
547,E&SP (NR),C,V
548,NS,C,V
549,E&SP (NR),C,E
550,NS,C,E
551,E&SP (NR),C,E
552,NS,B,E
553,E&SP (NR),A,D
554,E&SP (NR),C,E
555,E&SP (NR),C,D
556,NS,C,E
557,E&SP (R),C,D
558,NS,C,E
559,E&SP (NR),C,E
560,NS,B,E
561,E&SP (NR),B,E
562,E&SP (NR),C,V
563,E&SP (NR),C,D
564,NS,C,E
565,E&SP (NR),C,E
566,E&SP (NR),C,D
567,NS,C,E
568,E&SP (NR),C,E
569,NS,C,E
570,NS,C,E
571,NS,C,E
572,E&SP (NR),C,E
573,NS,C,D
574,NS,C,E
575,E&SP (NR),C,E
576,E&SP (NR),C,D
577,E&SP (NR),C,V
578,NS,C,E
579,NS,C,E
580,E&SP (NR),C,D
581,E&SP (NR),C,V
582,E&SP (NR),C,E
583,E&SP (NR),C,D
584,NS,C,E
585,E&SP (NR),C,E
586,E&SP (NR),C,V
587,E&SP (NR),C,E
588,E&SP (NR),C,E
589,NS,C,E
590,NS,C,E
591,E&SP (R),C,D
592,E&SP (NR),C,V
593,NS,C,E
594,E&SP (NR),C,V
595,NS,C,E
596,NS,C,E
597,E&SP (NR),C,E
598,E&SP (NR),C,D
599,E&SP (NR),C,D
600,NS,C,E
601,NS,C,E
602,E&SP (NR),C,E
603,NS,C,E
604,E&SP (NR),C,E
605,E&SP (NR),C,E
606,NS,C,V
607,E&SP (NR),C,E
608,E&SP (NR),C,E
609,E&SP (NR),C,E
610,E&SP (NR),C,E
611,E&SP (NR),C,E
612,E&SP (NR),C,V
613,NS,B,V
614,E&SP (NR),C,E
615,NS,C,E
616,NS,C,E
617,E&SP (NR),C,D
618,E&SP (NR),C,E
619,E&SP (NR),C,E
620,E&SP (NR),B,V
621,NS,C,V
622,E&SP (NR),B,E
623,E&SP (NR),C,E
624,NS,C,V
625,E&SP (NR),C,E
626,E&SP (NR),C,E
627,E&SP (NR),C,D
628,E&SP (NR),C,D
629,NS,C,E
630,E&SP (R),C,E
631,E&SP (NR),C,E
632,NS,C,V
633,NS,C,E
634,E&SP (NR),C,E
635,E&SP (NR),C,E
636,E&SP (NR),C,E
637,E&SP (NR),C,D
638,E&SP (NR),C,E
639,NS,C,E
640,E&SP (R),C,E
641,NS,C,V
642,E&SP (NR),C,E
643,E&SP (NR),C,D
644,E&SP (NR),C,V
645,NS,C,E
646,NS,C,D
647,NS,C,D
648,NS,C,E
649,NS,C,E
650,NS,C,V
651,E&SP (NR),C,E
652,E&SP (NR),C,E
653,E&SP (NR),C,E
654,NS,C,V
655,E&SP (NR),C,E
656,E&SP (NR),C,D
657,NS,B,V
658,E&SP (NR),C,V
659,E&SP (NR),C,E
660,E&SP (NR),C,V
661,E&SP (NR),C,V
662,E&SP (NR),C,E
663,E&SP (NR),C,E
664,NS,C,D
665,E&SP (NR),C,D
666,NS,C,E
667,E&SP (R),C,D
668,E&SP (NR),C,E
669,E&SP (NR),C,E
670,NS,C,D
671,NS,C,E
672,E&SP (NR),C,E
673,E&SP (NR),C,E
674,E&SP (NR),C,E
675,NS,C,E
676,E&SP (NR),C,V
677,E&SP (NR),C,D
678,E&SP (NR),C,V
679,E&SP (NR),C,E
680,E&SP (NR),C,E
681,E&SP (R),B,D
682,E&SP (NR),C,E
683,E&SP (NR),C,D
684,E&SP (NR),C,D
685,E&SP (NR),C,E
686,NS,C,E
687,E&SP (NR),C,E
688,NS,C,V
689,E&SP (NR),B,V
690,E&SP (NR),C,V
691,E&SP (NR),C,E
692,E&SP (NR),B,E
693,E&SP (NR),C,E
694,NS,C,V
695,E&SP (R),C,E
696,E&SP (NR),C,V
697,E&SP (R),C,E
698,NS,C,E
699,E&SP (NR),C,E
700,E&SP (NR),C,E
701,NS,C,E
702,NS,C,E
703,E&SP (NR),C,E
704,NS,C,E
705,E&SP (R),B,D
706,E&SP (NR),C,D
707,E&SP (NR),C,D
708,E&SP (NR),C,D
709,E&SP (R),C,D
710,E&SP (NR),C,E
711,E&SP (NR),C,E
712,E&SP (NR),C,E
713,E&SP (NR),B,V
714,E&SP (NR),C,D
715,E&SP (NR),B,E
716,E&SP (NR),C,E
717,E&SP (NR),C,E
718,NS,C,E
719,NS,B,E
720,E&SP (NR),C,E
721,E&SP (NR),C,E
722,E&SP (NR),C,E
723,E&SP (R),C,E
724,E&SP (NR),C,E
725,E&SP (NR),C,D
726,NS,C,E
727,NS,B,E
728,E&SP (NR),A,E
729,E&SP (NR),C,D
730,E&SP (NR),C,E
731,E&SP (NR),C,E
732,E&SP (NR),C,E
733,E&SP (R),C,E
734,E&SP (NR),C,E
735,E&SP (NR),C,E
736,E&SP (NR),C,E
737,E&SP (R),A,E
738,NS,B,E
739,E&SP (NR),C,E
740,E&SP (NR),C,D
741,E&SP (NR),C,E
742,E&SP (NR),C,E
743,E&SP (NR),C,D
744,E&SP (NR),C,V
745,E&SP (NR),C,D
746,E&SP (NR),B,D
747,E&SP (NR),C,E
748,E&SP (NR),B,E
749,E&SP (NR),B,D
750,E&SP (NR),C,D
751,E&SP (NR),C,D
752,NS,C,E
753,E&SP (NR),C,E
754,E&SP (NR),C,E
755,E&SP (NR),C,E
756,E&SP (NR),C,D
757,E&SP (NR),C,E
758,E&SP (NR),C,D
759,E&SP (NR),B,D
760,E&SP (NR),C,V
761,E&SP (NR),C,E
762,NS,C,V
763,NS,C,E
764,NS,C,E
765,E&SP (NR),C,E
766,E&SP (NR),B,V
767,E&SP (NR),C,E
768,E&SP (NR),C,D
769,E&SP (NR),C,D
770,NS,C,V
771,E&SP (NR),C,V
772,E&SP (NR),C,E
773,E&SP (NR),C,D
774,E&SP (NR),C,D
775,NS,C,E
776,E&SP (NR),C,E
777,NS,C,E
778,NS,C,D
779,E&SP (NR),C,E
780,E&SP (NR),C,E
781,E&SP (NR),C,E
782,NS,C,V
783,NS,C,E
784,E&SP (NR),C,E
785,E&SP (NR),C,E
786,NS,C,E
787,E&SP (NR),C,D
788,NS,C,E
789,E&SP (R),C,V
790,E&SP (NR),C,E
791,E&SP (R),C,E
792,NS,C,E
793,E&SP (NR),C,V
794,E&SP (NR),C,D
795,E&SP (NR),C,E
796,NS,C,E
797,NS,C,D
798,E&SP (R),B,D
799,E&SP (NR),C,E
800,E&SP (NR),C,E
801,E&SP (NR),C,E
802,E&SP (NR),C,V
803,NS,C,V
804,NS,C,E
805,E&SP (R),C,E
806,E&SP (NR),C,V
807,NS,C,E
808,E&SP (NR),C,E
809,E&SP (NR),C,D
810,E&SP (NR),C,E
811,E&SP (NR),C,E
812,E&SP (NR),C,E
813,E&SP (NR),C,D
814,E&SP (NR),C,E
815,E&SP (NR),C,E
816,E&SP (NR),C,V
817,E&SP (NR),C,D
818,NS,C,E
819,E&SP (NR),C,V
820,NS,C,E
821,E&SP (NR),C,E
822,E&SP (NR),C,D
823,E&SP (NR),C,D
824,E&SP (NR),C,D
825,E&SP (NR),C,E
826,E&SP (NR),C,E
827,E&SP (NR),C,E
828,E&SP (NR),C,V
829,E&SP (NR),C,V
830,E&SP (NR),C,E
831,E&SP (NR),C,E
832,NS,C,V
833,NS,C,E
834,E&SP (NR),B,E
835,E&SP (NR),C,E
836,E&SP (NR),C,E
837,E&SP (NR),C,E
838,NS,C,E
839,E&SP (NR),C,E
840,NS,C,E
841,E&SP (R),C,E
842,E&SP (NR),C,E
843,E&SP (NR),C,V
844,E&SP (NR),C,V
845,E&SP (NR),C,V
846,E&SP (NR),C,D
847,E&SP (NR),C,D
848,E&SP (NR),C,V
849,NS,C,E
850,E&SP (NR),C,E
851,E&SP (NR),C,V
852,E&SP (NR),C,E
853,E&SP (NR),C,E
854,E&SP (NR),C,V
855,NS,C,E
856,NS,C,E
857,E&SP (NR),C,E
858,E&SP (R),C,V
859,E&SP (R),C,V
860,E&SP (NR),C,E
861,NS,C,V
862,NS,C,E
863,E&SP (NR),B,E
864,NS,C,E
865,NS,C,V
866,E&SP (NR),C,V
867,NS,C,V
868,E&SP (NR),C,V
869,E&SP (NR),C,V
870,E&SP (R),C,V
871,E&SP (NR),C,E
872,NS,C,E
873,E&SP (NR),C,E
874,E&SP (NR),C,E
875,E&SP (NR),C,E
876,E&SP (NR),C,E
877,E&SP (NR),C,D
878,E&SP (R),C,E
879,E&SP (NR),B,V
880,E&SP (NR),C,E
881,E&SP (R),B,V
882,NS,C,E
883,NS,C,E
884,E&SP (NR),C,E
885,E&SP (NR),C,E
886,E&SP (NR),C,D
887,E&SP (NR),C,D
888,E&SP (NR),C,E
889,E&SP (NR),C,V
890,E&SP (NR),C,E
891,E&SP (NR),C,E
892,E&SP (NR),C,D
893,E&SP (NR),C,E
894,E&SP (NR),C,E
895,E&SP (NR),C,V
896,NS,C,V
897,E&SP (NR),C,V
898,E&SP (NR),C,D
899,E&SP (NR),C,E
900,NS,C,V
901,E&SP (NR),C,V
902,E&SP (NR),C,E
903,E&SP (R),C,E
904,E&SP (R),C,V
905,E&SP (NR),C,E
906,E&SP (NR),C,E
907,E&SP (NR),C,E
908,NS,A,E
909,E&SP (NR),C,E
910,E&SP (NR),C,D
911,NS,C,E
912,E&SP (NR),B,E
913,E&SP (NR),C,E
914,E&SP (NR),C,D
915,E&SP (NR),C,D
916,E&SP (NR),C,E
917,E&SP (NR),C,D
918,NS,C,V
919,E&SP (NR),C,E
920,E&SP (NR),C,V
921,E&SP (NR),C,E
922,NS,C,E
923,E&SP (NR),C,E
924,E&SP (NR),C,E
925,E&SP (NR),B,E
926,E&SP (NR),C,V
927,E&SP (NR),C,E
928,E&SP (NR),C,E
929,E&SP (NR),C,V
930,NS,C,D
931,E&SP (NR),C,E
932,E&SP (NR),C,E
933,NS,C,E
934,E&SP (NR),C,E
935,NS,C,E
936,NS,C,E
937,NS,C,V
938,NS,C,E
939,E&SP (NR),C,E
940,NS,B,E
941,NS,B,V
942,E&SP (NR),C,E
943,E&SP (NR),C,E
944,E&SP (NR),C,E
945,E&SP (NR),C,V
946,E&SP (NR),C,E
947,E&SP (NR),C,E
948,E&SP (NR),C,E
949,NS,C,D
950,E&SP (NR),C,E
951,E&SP (NR),C,E
952,NS,C,D
953,E&SP (R),C,E
954,E&SP (NR),C,E
955,E&SP (NR),C,D
956,NS,C,E
957,E&SP (NR),B,D
958,NS,C,E
959,E&SP (NR),C,V
960,E&SP (NR),C,E
961,E&SP (NR),C,E
962,E&SP (NR),C,D
963,E&SP (NR),B,V
964,E&SP (NR),C,V
965,NS,C,E
966,E&SP (NR),B,V
967,E&SP (NR),C,E
968,E&SP (NR),C,E
969,E&SP (NR),B,E
970,NS,C,V
971,E&SP (NR),C,E
972,NS,C,E
973,E&SP (NR),C,D
974,E&SP (NR),C,V
975,NS,B,D
976,E&SP (NR),C,V
977,E&SP (NR),C,V
978,E&SP (NR),C,E
979,E&SP (NR),C,D
980,E&SP (NR),C,E
981,E&SP (NR),C,E
982,E&SP (NR),C,E
983,E&SP (NR),C,D
984,E&SP (NR),C,E
985,E&SP (NR),C,D
986,E&SP (NR),C,E
987,NS,C,V
988,E&SP (NR),C,E
989,E&SP (NR),C,D
990,E&SP (NR),C,D
991,E&SP (R),C,D
992,E&SP (NR),C,E
993,E&SP (NR),C,D
994,NS,C,E
995,E&SP (R),C,E
996,E&SP (NR),C,V
997,E&SP (NR),C,E
998,NS,C,E
999,E&SP (R),C,D
1000,E&SP (NR),C,E
